	cluster	degree
Accs	3	1958
Acd	3	3102
Acer2	0	487
Ache	0	104
Acin1	2	3315
Acly	3	250
Acmsd	3	140
Acnat2	1	82
Aco1	3	1326
Aco2	1	22
Acot12	3	1781
Acot13	1	139
Acot5	2	37
Acot7	3	1784
Acot8	1	16
Acot9	1	125
AABR07006142.1	0	59
Acox1	3	973
AC128207.1	3	72
Acaa1b	3	11
Acox2	3	796
Acox3	2	1507
Acp1	1	50
Acp2	3	2522
Acp3	2	33
Acot3	2	75
Acp6	3	2422
Acrbp	1	23
AABR07058464.1	1	20
Acsf2	3	1022
Acsf3	3	93
Acsl1	3	753
Acsl4	1	35
Acsl5	3	379
Acsm1	3	1117
Acsm3	0	137
Acss1	0	443
Acss2	3	503
Acss3	1	41
Acsm5	1	10
Acta2	0	418
Actb	0	2394
Acp5	1	2
Actg1	0	519
Actl6a	1	90
Actn1	0	1979
AABR07030773.1	0	33
AB124611	0	232
Actn4	0	2268
Actr10	1	295
AC112866.1	1	39
AC128960.1	1	23
Actr1a	2	3490
Actr1b	3	2672
Actr2	1	16
AABR07053516.1	1	3
Actr3	0	1777
Actr5	3	2173
Actr6	1	154
Actr8	2	41
Acvr1	0	232
Acvr1b	0	2158
Acvr1c	2	351
Acvr2a	2	2460
Acvrl1	0	1200
Acy1	3	1270
Acy3	3	1856
Acyp2	1	97
Ada	0	434
Adal	1	150
Adam10	2	563
Adam15	3	803
Adam17	2	1529
Adam19	0	1092
Adam23	0	1180
Acbd6	2	93
Adam28	1	13
Adam9	0	1407
Adamdec1	1	11
Adamts1	0	246
Adamts10	2	597
Adamts12	2	506
Adamts13	0	1086
Adamts2	0	1125
AABR07005821.1	0	106
AABR07051450.1	0	8
Adamts4	0	14
A2m	0	62
Adamts7	3	1155
Adamts9	3	27
Adamtsl2	0	417
Adamtsl4	2	2119
1700122O11Rik	3	90
Adamtsl5	1	84
Adap2	2	130
Adar	3	2253
Adarb1	0	994
Adat1	2	316
Adat3	0	322
Adck1	1	12
Adck5	3	309
Adcy10	1	43
Adcy3	0	596
Adcy4	0	554
Adcy5	0	1005
Adcy6	2	1999
Adcy9	0	2619
Adcyap1r1	2	125
Add1	3	3198
Add3	3	866
Adgra2	0	688
Adgra3	2	2391
Adgre1	0	56
AABR07021955.1	1	10
Adgre4	0	129
Adgre5	0	2101
Adgrf5	0	192
Adgrg6	0	380
Adgrl1	2	2151
Adgrl2	2	2976
Adgrl3	0	1888
Adh6	3	1130
Adhfe1	3	356
Adi1	1	115
Adipor1	0	2536
Adipor2	2	2707
Adk	3	81
Adm	0	867
Adnp	2	2631
Adnp2	2	2139
Ado	2	2314
Adora1	2	1100
Adora3	0	79
Adprh	3	2400
Adprm	0	241
Adprs	1	12
Adra1b	3	2038
Adrb2	0	187
Adrm1	3	2836
Adsl	2	809
Adssl1	3	648
Adtrp	3	707
Aebp1	0	539
Aebp2	2	651
Aen	0	83
Afap1l1	0	1977
Afap1l2	0	1748
Afdn	2	459
Aff1	2	2554
Aff4	3	1128
Afg3l1	3	2240
Afg3l2	3	2142
Afm	3	207
Afmid	3	107
Aftph	3	2592
Aga	2	1715
Agap1	0	2046
Agap3	3	1939
Agbl5	0	1563
Agfg2	3	708
Aggf1	2	2982
Agk	3	995
Agl	2	1720
Agmo	3	185
Acot2	3	4
Ago1	3	2466
Ago2	2	1360
Ago3	1	174
AC096024.2	1	16
Ago4	2	624
Agpat1	0	2576
Acer3	0	41
Agpat2	2	136
Agpat3	3	1945
Agpat4	0	2342
Agpat5	2	651
Agps	2	450
Agrn	3	2223
Agtr1a	2	1122
Agmat	2	23
Agtrap	0	1584
AABR07029596.1	0	97
Agxt	1	4
Aass	1	35
Agxt2	3	306
Ahctf1	2	1664
Ahcy	1	22
Ahcyl1	3	3057
Ahcyl2	2	1835
Ahdc1	2	1860
Ahi1	2	594
Ahnak	0	963
Ahsa1	2	2374
Ahsa2	2	131
Aida	0	2983
Aif1	0	284
Aifm1	3	1173
Aifm2	2	627
Aig1	0	38
Aimp1	2	925
Aimp2	3	2353
Aip	3	132
Ajm1	1	227
Ajuba	0	1584
Ak2	3	1392
Ak3	3	1724
Ak4	3	669
Ak6	1	134
Akap1	2	2584
Akap11	2	876
Akap12	3	204
Akap13	3	2740
Akap17a	3	1582
Akap2	0	1194
Akap5	2	244
Akap6	1	256
Akap7	0	348
Akap8	0	1314
Akap8l	1	306
Akap9	2	786
Akip1	2	86
Akirin1	1	33
AABR07072371.1	1	8
Akirin2	0	77
Akna	0	1677
Akr1a1	3	2609
Akr1b1	0	582
Akr1b10	1	13
Akr1b7	1	32
Akr1c14	1	81
Akr1c19	1	73
AABR07001910.1	1	16
Akr7a2	3	1775
Akr7a3	3	391
Akt1	2	2539
Akt1s1	1	37
AABR07053741.1	1	75
Aar2	1	26
Akt2	3	2715
Akt3	0	180
Aktip	2	2058
Alad	3	684
Alas1	2	2525
Alas2	0	7
Ahsp	0	8
Alb	3	190
Albfm1	2	43
Alcam	1	19
Acadl	1	4
Aldh16a1	0	407
Aldh18a1	0	537
Aldh1a1	3	12
Aldh1a3	0	469
Aldh1b1	3	108
Aldh1l1	3	606
Aldh1l2	3	99
Aldh3a2	3	204
Aldh4a1	3	1128
Aldh5a1	2	2007
Aldh6a1	1	16
Aldh7a1	3	759
Aldh8a1	3	2555
Aldh9a1	3	615
Aldoa	0	1922
Aldob	3	321
Alg1	2	892
Alg10	0	794
Alg11	1	99
Alg13	1	219
AC108631.1	1	37
Alg14	0	52
Alg2	2	2387
Alg3	3	1460
Alg5	1	253
Alg8	2	1386
Alg9	0	491
Alkbh1	1	365
Alkbh3	3	298
Alkbh4	3	1792
Alkbh5	0	3092
Alkbh6	0	67
Alkbh7	1	14
Alkbh8	1	36
Alms1	2	1724
Alox5ap	0	225
Alpk1	0	710
Alpl	0	380
Als2	2	1849
Als2cl	2	1902
Alyref	3	1970
Amacr	1	13
Ambp	2	308
Ambra1	2	3154
Amdhd1	1	27
Amer1	2	1848
Amfr	2	2500
Amigo2	3	1947
Amigo3	3	19
Alg12	2	35
Ammecr1	0	50
Ammecr1l	2	2276
Amn1	1	230
Amot	2	1406
Amotl1	0	443
Amotl2	0	1103
Ampd2	2	2450
Amt	3	2283
Amy1a	3	132
Amz2	2	609
Anapc1	2	1953
Anapc10	1	99
Anapc13	0	25
Anapc15	0	2070
Anapc16	1	82
Anapc2	3	1960
Anapc4	2	225
Anapc5	0	2464
Anapc7	3	1613
Angel1	3	1269
Angel2	2	1493
Angpt1	1	236
Angpt2	0	12
Angptl2	3	2870
Angptl4	1	31
Ank3	0	334
Ankfy1	3	2763
Ankh	3	1276
Ankib1	2	1921
Ankle2	2	2586
Ankmy2	2	1249
Ankra2	3	2196
Ankrd11	3	2542
Ankrd12	0	391
Ankrd13a	3	3500
Ankrd13c	1	135
Ankrd16	2	932
Ankrd17	2	3321
Ankrd24	1	102
Ankrd26	2	900
Ankrd27	2	2230
Ankrd28	0	282
Ankrd33b	3	247
Ankrd40	2	2976
Ankrd44	3	50
Ankrd45	1	46
Ankrd46	2	2079
Ankrd49	0	1291
Ankrd50	0	1320
Ankrd52	2	2499
Ankrd54	2	1239
Ankrd9	0	536
Anks1a	0	2984
Anks3	2	299
Anks4b	2	523
Ankzf1	2	1321
Ano10	3	1924
Ano6	0	2920
Ano8	2	1256
Ano9	2	86
Anp32a	3	1181
Anp32b	0	1284
Anp32e	2	1264
Anpep	3	1276
Antkmt	1	27
Antxr1	0	822
Antxr2	3	1818
Anxa1	0	97
Anxa11	3	2515
Anxa2	0	1929
Anxa3	0	246
Anxa5	0	1222
Anxa6	3	1494
Anxa7	0	526
Anxa8	0	12
Aoah	0	90
Aox1	3	777
Aox4	3	77
Ap1ar	2	403
Ap1b1	3	2577
Ap1g1	2	2287
Amd1	1	46
Ap1m1	2	1460
Ap1s2	1	31
Adgrl4	1	14
Ap2a1	3	3101
Ap2a2	2	2320
Ap2b1	3	2994
Ap2m1	3	2873
Ap2s1	3	240
Ap3b1	3	3019
Ap3d1	3	3569
Ap3m1	3	2726
Ap3m2	0	2016
Ap3s1	1	26
Ap3s2	3	592
Ap4b1	2	229
Ap4e1	1	89
Ap4m1	2	1896
Ap4s1	1	254
Ap5b1	2	3103
Ap5m1	2	607
Ap5s1	2	2648
Apaf1	0	962
Apba3	3	2642
Apbb1	2	25
Apbb1ip	0	1347
Apbb2	2	1300
Apbb3	1	28
Apc	3	2055
Apeh	3	1945
Apex2	2	1411
Aph1a	3	3028
Aph1b	0	403
Api5	1	42
Apip	3	191
Aplnr	1	24
Aplp1	3	400
Abhd3	0	3
Aplp2	3	2690
Apmap	3	1007
Apoa1	1	45
Apoa2	1	60
Apoa4	2	340
Apoa5	0	556
Apob	3	94
Apobec1	2	821
Apoc2	1	210
Apoc3	2	147
Apoe	3	380
Apoh	1	204
Apol2	1	178
Apol9a	1	34
Apom	3	1041
Apon	2	76
Apoo	1	157
Apool	1	110
App	0	1029
Akr1b8	0	16
Appbp2	2	2442
Appl1	0	269
Appl2	1	64
Aprt	0	1362
Aptx	2	313
Aqp11	3	140
Aqp8	1	43
Aqr	2	3116
Araf	2	446
Arap1	2	2773
Arap2	0	385
Arap3	0	613
Arcn1	3	1453
Arel1	2	3111
Arf1	3	2881
Arf2	0	850
Arf5	1	21
Arf6	1	9
AABR07040412.1	1	5
Arfgap1	3	2237
Abcb6	3	20
Arfgap2	0	1869
Arfgap3	3	1128
Arfgef1	2	2072
Arfgef2	3	2859
Arfgef3	2	704
Arfip1	1	97
Aasdhppt	1	31
Arfrp1	3	1771
Arg1	3	437
Arhgap1	0	1666
Arhgap10	1	10
Arhgap12	1	100
Arhgap15	0	57
AABR07042326.2	0	10
Arhgap17	0	2842
Arhgap18	0	1121
Arhgap21	0	1816
Arhgap23	2	1487
Arhgap24	2	879
Arhgap25	0	1738
Arhgap26	0	498
Arhgap27	0	1538
Arhgap29	2	107
Arhgap30	0	1360
Arhgap31	3	978
Arhgap32	2	710
Arhgap33	2	312
Arhgap35	3	2888
Arhgap39	0	1229
Arhgap42	2	89
Arhgap45	0	1612
Arhgap5	1	186
Arhgap6	2	53
Arhgap8	2	2477
Arhgap9	0	857
Arhgdia	0	2563
Arhgdib	0	1884
Arhgef1	3	3299
Arhgef10l	0	1120
Arhgef11	3	2597
Arhgef12	0	2211
Arhgef15	2	280
Arhgef17	3	1692
Arhgef18	3	3109
Arhgef19	3	1322
Arhgef2	0	849
Arhgef26	2	78
Arhgef3	3	596
Arhgef40	2	1161
Arhgef5	0	2383
Arhgef6	0	2075
Arhgef7	3	1568
Arhgef9	3	123
Arid1a	2	3318
Arid1b	3	2432
Arid2	2	3006
Arid3a	0	1138
Arid3b	3	391
Arid4a	2	75
Arid5a	0	93
Arid5b	0	234
Arih1	2	2358
Arih2	2	2836
Arl1	1	3
Arf4	1	3
Arl11	1	15
Arl14ep	2	997
Arl15	0	628
Arl16	3	836
Arl2	3	168
Arl2bp	0	1471
Arl3	0	361
Arl4a	1	22
Arl4d	1	37
Arl5a	2	410
Arl6ip1	1	79
Arl6ip4	3	131
Arl6ip5	1	37
Arl6ip6	1	158
Akap10	1	18
Arl8a	0	2771
Arl8b	2	246
Armc1	1	57
Akr1e2	1	17
Armc10	0	1215
Armc5	3	2333
Armc6	1	10
Alkbh2	1	4
Armc7	0	1630
Armc8	2	2120
Armc9	0	23
Armcx3	1	9
Armcx5	2	129
Armh3	3	544
Arnt	2	2758
Arntl	2	121
Arpc1a	1	274
Arpc1b	0	1766
Arpc2	0	3192
Arpc3	0	851
Arpc4	3	1162
Arpc5	0	437
Arpc5l	1	303
Arpin	0	1643
Arpp19	3	44
Arrb1	0	1914
Arrb2	0	1593
Arrdc1	0	2440
Arrdc2	2	1364
Arrdc4	0	66
Arsa	2	1973
Arsb	0	1392
Arse	0	161
Arsk	1	12
Art4	0	562
Arv1	0	691
Arvcf	0	1033
As3mt	1	37
Ankrd39	1	5
Asah1	0	24
Asap1	0	1424
Asap2	3	878
Asap3	0	106
Asb1	2	45
Asb13	1	29
Asb3	2	366
Asb6	1	45
Asb7	2	2240
Asb8	2	2997
Ascc2	3	2206
Ascc3	2	228
Ascl1	1	17
Asf1a	1	74
Asgr1	2	12
Asgr2	1	7
Ash1l	2	1444
Ash2l	2	3066
Asl	3	65
Asmtl	1	5
Asns	0	15
Asnsd1	1	225
Aspa	1	14
Aspdh	3	1628
Aspg	2	555
Asph	0	25
Aspscr1	3	1490
Ass1	3	395
Asxl1	0	1068
Asxl2	2	3160
Atad1	1	342
Atad2b	2	1772
Atad3a	3	1643
Atat1	3	1717
Ate1	1	30
Atf1	0	2353
Atf2	2	169
Atf4	0	240
Atf5	2	1429
Atf6	0	644
Atf6b	3	2199
Atf7	2	1540
Atf7ip	2	2944
Atg10	1	139
Atg12	3	426
Atg13	3	1763
Atg16l1	2	117
Atg16l2	0	119
Atg2a	3	1332
Atg2b	3	2487
Atg3	2	74
Atg4b	3	2720
Atg4c	2	1215
Atg5	3	209
Atg7	0	1579
Atg9a	3	2549
Atic	2	2579
Atl3	1	95
Atm	1	160
Atmin	3	2507
Atn1	2	3232
Atoh8	0	260
Atox1	1	193
Atp10d	0	803
Atp11a	0	2469
Atp11b	2	1467
Atp11c	1	58
Atp13a1	3	2310
Atp13a2	0	1977
Atp13a3	2	82
Atp1a1	3	2485
Atp1b1	3	102
Arl5b	3	29
Atp1b3	0	1038
Atp23	1	35
Atp2a2	2	2108
Atp2a3	0	1226
Atp2b1	3	2881
Atp2b2	2	1490
Atp2c1	2	2340
Atp5f1a	3	1214
Atp5f1b	3	771
Atp5f1d	3	187
Atp5mc2	0	1997
Atp5mc3	1	31
Atp5mf	1	260
Atp5mg	1	87
Atp5mk	1	204
Atp5pb	1	260
Atp5pd	3	169
Atp5pf	1	2
Atp5po	1	172
Atp6ap1	1	40
Atp6v0a1	3	1983
Atp6v0c	3	2258
Atp6v0d1	3	2530
Atp6v1a	2	2927
Atp6v1b2	3	2099
Atp6v1c1	1	215
Atp6v1d	1	127
Atp6v1fnb	0	1192
Atp6v1g1	1	61
Atp6v1h	1	16
Atp7a	0	1254
Atp7b	3	1299
Atp8a1	0	347
Atp8b1	0	2231
Atp8b2	0	689
Atp8b4	0	21
Atp9a	3	1725
Atp9b	2	2718
Atpaf1	2	2440
Atpaf2	2	2948
Atpsckmt	2	34
Atr	1	157
Atrip	2	1489
Atrn	2	1813
Atrnl1	0	285
Atrx	1	90
Atxn1	2	1770
Atxn10	3	183
Atxn1l	2	2692
Atxn2	2	1901
Atxn2l	3	507
Atxn3	1	23
Atxn7	2	1620
Atxn7l1	2	2132
Atxn7l2	0	200
Abcg2	0	10
Atxn7l3	3	2956
Atxn7l3b	2	2345
AU040320	3	2053
Auh	3	61
Aup1	3	2276
Aurka	0	407
Aurkaip1	1	160
Aurkc	1	318
Aven	3	1300
AC129049.1	2	40
Avl9	2	190
Avpi1	0	608
Avpr1a	3	685
AW146154	1	33
Arid4b	1	14
Axin1	3	2643
Axin2	3	2530
Axl	0	2824
Azgp1	1	34
Azi2	3	1420
B2m	0	219
B3galnt2	2	2248
B3galt1	2	60
B3galt6	3	439
B3gat3	1	27
B3glct	0	231
AABR07026317.1	0	20
B3gnt7	0	103
B4galnt1	3	2536
B4galt1	0	1039
Adora2a	0	64
B4galt3	0	1181
B4galt5	0	1592
B4galt6	1	6
Arl13b	1	4
B4galt7	3	16
B4gat1	1	18
B9d1	1	86
B9d2	3	7
Baat	1	97
Babam1	3	2697
Babam2	3	595
Bace1	2	2331
Bace2	0	810
Bach1	3	285
Bach2	3	257
Bad	2	2140
Bag1	2	2620
Bag3	3	1862
AABR07003049.1	0	8
Bag6	3	2838
Bahcc1	2	1803
Bahd1	0	2311
Baiap2	2	1297
Baiap2l1	3	434
Bak1	0	1534
Bambi	0	118
Banf1	2	1062
Bank1	0	24
Banp	1	24
Bap1	0	122
Batf2	0	301
Bax	2	1056
Baz1a	1	9
Baz1b	2	3025
Baz2a	2	2672
Baz2b	2	730
Bbc3	3	1064
Bbln	3	963
Bbox1	1	62
Bbs1	3	671
Bbs2	0	371
Bbs4	2	312
Bbs5	1	50
Bbs7	2	179
Ankrd42	2	8
Bbs9	2	716
AABR07064804.1	2	27
Bbx	0	3047
BC005537	3	946
BC024063	1	83
Arglu1	1	8
BC049762	1	57
Bcam	0	614
Bcap29	1	175
Bcap31	3	2101
Bcar1	3	733
Bcar3	3	173
Bcas3	3	2085
Bcat2	0	697
Bccip	1	149
Bcdin3d	2	471
Bche	1	6
Bckdha	3	703
Bckdhb	3	172
Bcl10	0	1747
Bcl2a1	0	252
Bcl2l1	3	631
Bcl2l11	0	830
Bcl2l12	0	1477
Bcl2l13	2	2128
Bcl2l2	2	2525
Bcl3	0	265
Bcl6b	3	875
Bcl7b	3	2717
Bcl7c	1	21
Bcl9	2	1969
Bcl9l	2	2171
Bclaf1	1	306
