	cluster	degree
AC105531.1	2	4393
AC105662.1	1	405
AC107531.3	4	4
AC109048.1	1	1221
AC109542.1	3	1685
AC109844.1	4	193
AC109942.1	2	1106
AC112866.1	0	468
AC118115.1	4	37
AC118165.1	0	2188
AC119015.1	3	972
AC121415.1	3	1949
AC126572.1	0	2331
AC128290.1	4	84
AC128859.3	0	58
AC130232.2	0	380
AC130391.3	4	330
AC131360.1	3	1987
AC131360.2	1	115
AC132740.1	4	23
AC135409.1	4	1
Acaa1a	3	1877
Acaa2	3	2334
Acaca	1	242
Acacb	2	568
Acad10	3	1558
Acad11	3	1495
Acad8	2	1894
Acad9	2	1760
Acadl	2	1401
Acadm	2	1358
Acads	1	1235
1700056E22Rik	1	15
Acadsb	3	2494
Acadvl	3	2314
Acap1	0	55
AABR07058479.1	4	49
Acap2	0	3564
Acap3	1	447
Acat1	2	2242
Acat2	1	504
Acbd3	0	2249
Acbd4	1	1039
Acbd5	3	2590
Acbd6	1	1280
Accs	1	1919
Acd	0	3013
Ace	0	326
Ace2	3	407
Acer2	0	1721
Acer3	1	643
Ache	2	29
Acin1	0	1695
Ackr1	0	1781
Ackr3	0	1386
Acly	1	102
Acnat2	4	346
AC115420.1	4	9
Aco1	3	1489
Aco2	2	1344
Acot13	2	464
Acot2	3	2407
Acot4	4	22
Acot7	1	390
Acot8	1	966
Acot9	2	2746
Acox1	3	2423
Acox3	0	1598
Acp1	3	3009
Acp2	3	2209
Acp5	1	854
Acp6	3	2988
Acr	4	29
Acrbp	1	276
Acsbg2	0	93
Acsbg3	4	74
Acsf2	2	393
Acsf3	1	517
Acsl1	3	1842
Acsl3	2	455
Acsl4	3	2442
Acsl5	3	1303
Acsm1	1	41
Acsm5	3	367
Acss1	2	144
Acss2	1	470
Acss3	3	667
Acta1	5	61
Actb	3	1698
Actg1	1	1858
Actg2	6	8
Acta2	6	9
Actl6a	3	4255
Actn1	3	315
Actn3	5	53
Actn4	3	1829
Actr10	2	2431
Actr1a	1	3233
Actr1b	2	1105
Actr2	3	3218
Actr3	0	3668
Actr3b	2	6
Actr5	1	160
Actr6	3	3541
Actr8	0	4152
Acvr1	2	1911
Acvr1b	2	622
Acvr1c	3	1726
Acvr2a	0	3143
Acvr2b	2	41
Acvrl1	0	612
Abi3	0	51
Acy1	3	1044
Acyp1	2	614
Acyp2	2	404
Ada	3	221
Adam10	0	2259
Adam12	1	701
Adam15	0	427
Adam17	0	1932
Adal	0	59
Adam19	0	1170
Adam22	0	3
Adam23	0	1685
Adam8	4	95
Adam9	0	2658
Adamts10	1	87
Adam33	1	10
Adamts12	0	1757
Adamts14	1	180
Adamts15	1	93
Adamts2	1	479
Adamts4	4	5
Adamts1	0	22
Adamts5	0	214
Adamts7	0	1646
Adamts9	1	8
AABR07067762.1	1	9
Adamtsl1	0	1106
Ackr2	0	16
Adamtsl3	0	480
Adamtsl4	2	230
Adap1	1	256
Adap2	0	82
Adar	1	358
Adarb1	3	438
Adat1	4	347
Adat3	1	175
Adck1	1	1762
Adck5	1	2552
Adcy10	1	108
Adcy3	1	519
Adcy4	1	124
Adcy6	1	1418
Adcy7	0	238
Adcy9	2	864
Adcyap1r1	0	518
Add1	1	1903
Add3	3	1302
Adgra2	1	901
Adgra3	0	3605
Adgrd1	0	519
Acot11	0	82
Adgre1	0	144
Adgre4	0	107
Adgre5	0	1215
Adgrf5	3	1157
Adgrg1	1	653
Adgrg2	3	478
Adgrg3	4	46
Adgrg5	0	43
Adgrg6	0	1126
Adgrl1	1	220
Adgrl2	0	2463
Adgrl3	0	789
Adgrl4	0	1387
Adgrv1	0	39
Adh5	3	3014
Adhfe1	3	1407
Adi1	3	1312
Adipoq	1	973
Adipor1	2	2453
AABR07029732.1	2	56
Adipor2	2	2376
Adk	3	2245
Adm	3	2266
Adnp	0	4133
Adnp2	1	1422
Ado	0	3004
Adora1	1	500
Adora2a	1	629
Adpgk	1	1818
Adprh	3	4364
Adprhl1	2	502
Adprm	1	2968
Adprs	1	1514
Adra1a	0	287
Adra1d	1	42
Adra2a	0	645
Adra2b	0	528
Adrb1	1	35
Adrb2	0	243
Adrb3	0	36
Adrm1	2	1539
Adsl	2	1082
Adss	0	3965
Aebp1	3	461
Adora2b	0	9
Aebp2	0	304
Aen	3	844
Afap1	1	1787
Afdn	0	484
Aff1	0	1596
Aff3	0	287
Aff4	0	2452
Afg3l1	1	1514
Afg3l2	2	1705
Afmid	1	15
Aftph	0	3561
Aga	3	1683
Agap1	0	3105
Agap2	1	26
Agap3	1	698
Agbl3	0	580
Agbl5	3	1290
Ager	1	181
Agfg2	3	2995
Aggf1	0	2004
Agk	3	3180
Agl	2	509
Agmo	1	378
Ago1	1	46
Ago2	2	925
Ago3	0	1302
Ago4	0	403
Agpat1	2	1067
Agpat2	1	643
Agpat3	1	681
Agpat4	1	215
Agpat5	2	1805
Agps	0	2954
Agrn	1	259
Agt	3	1682
Agtpbp1	2	612
Agtr1a	3	2253
Agtrap	3	3900
Ahctf1	0	2277
Ahcy	2	2802
Ahcyl1	3	3762
Ahcyl2	1	680
Ahdc1	2	68
Ahi1	0	2103
Ahnak	0	1544
Ahr	0	692
Ahsa1	2	1485
Ahsa2	4	354
AI467606	0	193
AB124611	0	30
Aida	0	614
Ackr4	0	19
Aifm1	3	2104
Aifm2	1	372
Aig1	3	1848
Aim2	0	48
Aimp1	2	1342
AC128207.1	2	44
Aimp2	2	1567
Aip	2	2196
Ajm1	2	1589
Ajuba	1	46
Ak2	1	695
Ak3	1	1046
Ak6	2	1404
Akap1	2	2105
Akap10	0	3377
Akap11	0	2904
Akap13	0	950
Akap17a	1	121
Akap17b	0	129
Akap2	1	1468
Akap5	4	39
Akap7	0	1538
Akap8	0	1226
Akap8l	4	562
Akap9	2	587
Akip1	0	1318
Akirin1	1	986
Akirin2	2	2247
Akna	0	297
Akr1a1	1	2830
Akr1b1	1	538
Akr1b10	4	87
Akr1c13	1	15
Akr1c14	3	1330
Akr1c15	3	1526
AC141102.1	3	57
Akr1c19	4	14
Akr1e2	3	1150
Akr7a2	1	1094
Akt1	0	3482
Akt1s1	2	1185
Akt2	2	2321
Akt3	0	592
Aktip	2	680
Alad	1	1072
Alas1	3	1080
Alas2	4	16
Add2	4	4
Alcam	1	38
Aldh16a1	1	2159
Aldh18a1	1	497
Aldh1a2	3	104
Aldh1l1	1	1250
Aldh3a2	1	1781
Aldh4a1	1	449
Aldh5a1	2	27
Aldh6a1	3	2737
Aldh7a1	3	2207
Aldh8a1	1	496
Aldh9a1	3	1958
Aldoa	2	319
Alg1	1	706
Alg10	0	3436
Alg11	3	3455
Alg12	3	3497
Alg13	1	2092
Alg14	1	2417
Alg2	3	1852
Alg3	2	1010
Alg5	3	2996
Alg6	0	3875
Alg8	0	1421
Alg9	3	2957
Alkbh1	0	2293
Alkbh2	3	32
Alkbh3	2	1423
Alkbh4	1	809
Alkbh5	2	1885
Alkbh6	3	1091
Alkbh7	1	1389
Alkbh8	0	3750
Alms1	0	3151
Alox12	0	43
Alox5	0	1127
Alox5ap	0	325
Aif1	0	23
Alpk1	0	1997
Alpk3	5	13
Adssl1	5	21
Alpl	3	121
Als2	0	1417
Als2cl	1	19
Alyref	3	1480
Amacr	2	1902
Ambra1	1	2670
AABR07054368.1	1	39
Amd1	2	1676
Amdhd2	1	2562
Amer1	0	2515
Amfr	2	1236
Amigo1	2	1746
Amigo3	1	1384
Ammecr1	0	680
Ammecr1l	0	1716
Amn1	3	3462
Amotl1	2	37
Amotl2	1	516
Ampd1	5	42
Actn2	5	20
Ampd2	1	672
Ampd3	0	596
Amph	1	61
AABR07063279.1	1	8
Amt	1	675
Amz1	1	539
Amz2	2	1018
Anapc1	3	3647
Anapc10	0	2336
Anapc13	3	844
Anapc15	2	1897
Anapc16	2	1731
Anapc2	1	3452
Anapc4	0	4031
Anapc5	2	1567
Anapc7	0	3362
Angel1	3	3938
Angel2	1	3086
Angpt1	0	136
Angpt2	3	946
Angpt4	1	187
Angptl2	3	2818
Angptl4	0	1916
Angptl8	1	150
Ank2	2	345
Ankdd1a	4	322
Ankef1	4	69
Ankfy1	0	3524
Ankh	2	601
Ankib1	0	933
Ankle2	0	4441
Ankmy2	3	1984
Ankra2	0	3014
Ankrd1	2	29
Ankrd10	1	1296
Ankrd11	0	1453
Ankrd12	0	353
Aif1l	0	14
Ankrd13a	0	1503
Ankrd13b	2	121
Ankrd13c	3	3399
Ankrd16	1	120
Ankrd17	0	2238
Ankrd23	5	55
Ankrd24	3	2225
Ankrd26	0	263
Ankrd27	1	2252
Ankrd28	2	1256
Ankrd33b	0	245
Ankrd39	0	927
Ankrd40	2	388
AABR07003537.1	2	7
Ankrd42	0	356
Ankrd44	0	920
Ankrd45	4	272
Ankrd46	1	2591
Ankrd49	0	1141
Ankrd50	3	4036
Ankrd52	2	231
Ankrd54	1	2235
Ankrd6	1	1491
Ankrd66	4	483
Ankrd9	2	767
Anks1a	0	2668
Anks3	4	192
Anks6	1	232
Ankzf1	1	1834
Ano1	3	988
Ano10	1	1959
Ano5	5	15
Ano6	0	2824
Ano8	1	78
Adamtsl5	1	8
Ano9	4	338
Anp32a	0	295
Anp32b	0	1078
Anp32e	2	1446
Anpep	0	1359
Antkmt	1	871
Antxr1	0	1531
Antxr2	0	1560
Anxa1	1	378
Anxa11	3	3251
Anxa2	1	836
Anxa3	0	572
Anxa4	0	1090
Anxa5	1	874
Anxa6	1	1283
Anxa7	3	2955
Aoah	0	177
Abcb1b	0	19
Aopep	1	66
Aox1	3	2645
Ap1ar	0	1384
Ap1b1	3	3295
Ap1g1	3	3566
Ap1m1	1	2164
Ap1m2	4	338
Ap1s1	1	1801
Ap1s2	2	27
Adcy2	2	20
Ap1s3	1	614
Ap2a1	2	2649
Ap2a2	1	1407
Ap2b1	0	4459
Ap2m1	2	2949
Ap2s1	1	1038
Ap3b1	0	2816
Ap3d1	3	4495
Ap3m1	3	3280
Ap3m2	1	336
Ap3s1	0	349
Ap3s2	1	1935
Ap4b1	2	1009
Ap4e1	0	2427
Ap4m1	1	1480
Ap4s1	2	1768
Ap5b1	1	1099
Ap5m1	0	2354
Ap5s1	1	863
Apaf1	0	1665
Apba1	0	129
Apba3	2	1194
Apbb1	2	28
Apbb1ip	0	853
Apbb2	0	885
Apbb3	1	230
AABR07060610.1	1	11
Aifm3	1	21
Apc	0	3188
Apc2	1	370
Apcdd1	0	1257
Apeh	1	2592
Apex1	3	2084
Apex2	0	867
Aph1a	1	2848
Aph1b	0	2510
Api5	3	3799
Apip	3	1424
Aplf	4	23
Aplnr	0	87
Aplp1	0	1180
Aplp2	3	2693
Apmap	3	2104
Apobec1	0	475
Apobec2	5	47
Apobec3	0	77
Apobr	0	193
Apod	2	18
Apoe	3	1253
Acy3	3	6
Apol2	4	396
Apol9a	1	32
Apold1	0	500
Apoo	2	1363
Apool	3	1269
App	3	2962
Appbp2	0	3039
Appl1	0	3310
Appl2	0	2976
Aprt	1	1696
Aptx	0	1492
AABR07021591.1	0	7
Aqp1	0	1335
Aqp7	1	1774
Aqr	3	4021
Ar	1	497
Araf	2	2545
Arap1	1	97
Ankrd13d	1	13
Arap2	0	427
Arap3	1	231
Arc	1	154
Arcn1	3	3279
Arel1	0	4597
Arf1	3	3239
Arf2	0	2403
Arf4	3	3418
Arf5	1	2886
Arf6	0	3084
Arfgap1	1	2166
Arfgap2	2	2305
Arfgap3	0	1893
Arfgef1	0	2731
Arfgef2	3	3752
Arfip1	0	2848
Arfip2	1	1510
Arfrp1	1	1651
Arglu1	4	144
Arhgap1	3	2002
Arhgap10	0	613
Arhgap11a	0	607
Arhgap12	2	762
Arhgap15	0	89
Arhgap17	0	2616
Arhgap18	0	1462
Arhgap20	2	789
Arhgap21	0	3178
Arhgap22	0	17
Arhgap23	1	287
Arhgap24	1	1366
Arhgap25	0	551
Arhgap26	0	77
Arhgap27	1	269
Arhgap28	2	470
Arhgap29	0	2422
Arhgap30	0	1860
Arhgap31	1	393
Arhgap32	0	2346
Arhgap33	1	19
AABR07038477.1	1	3
Arhgap35	0	3214
Arhgap39	0	1279
Arhgap4	0	596
Arhgap40	4	259
Arhgap42	0	996
Arhgap45	0	421
Arhgap5	2	2570
Arhgap6	0	272
Arhgap9	0	201
Arhgdia	1	1808
Arhgdib	0	914
Arhgef1	1	633
Arhgef10	1	374
Arhgef10l	1	111
Arhgef11	1	3309
Arhgef12	0	3146
Arhgef15	0	28
Apol3	0	7
Arhgef16	0	48
Arhgef17	0	329
Arhgef18	1	1667
Arhgef2	1	816
Arhgef25	1	49
Arhgef28	0	152
Arhgef3	3	2111
Arhgef40	1	122
Arhgef5	0	465
Arhgef6	2	1130
Arhgef7	2	205
AABR07006724.1	2	18
Arhgef9	2	1146
Arid1a	0	4115
Arid1b	0	4271
Arid2	0	4187
Arid3a	1	591
Arid3b	1	22
Arid4a	0	789
Arid4b	0	910
