gene_names	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
0610030E20Rik	347.653388736172	-0.491934315893684	0.124417906931776	-3.95388676779006	7.68918091070662e-05	0.00537702503825931
0610040J01Rik	64.7750278945328	-0.016353469459201	0.238510933317056	-0.0685648629677788	0.945335988308792	0.980752033980303
1110002E22Rik	15979.2105939335	0.468212419771398	0.282347385200082	1.65828495078715	0.0972599651087904	0.341363100806532
1110032F04Rik	0.598884987483901	-2.2981217664664	1.67339779660905	-1.37332663585627	0.169650825680534	NA
1110038F14Rik	380.475577179924	0.0173938314795843	0.132231781722373	0.131540475769309	0.895347769691235	0.965045500266002
1110065P20Rik	195.693725437753	-0.380126899234656	0.179927413547005	-2.11266805730717	0.0346291891334709	0.196419625217914
1500009L16Rik	12.2900879163596	0.596632435506744	0.612451305208805	0.974171220523943	0.329971531714565	NA
1600012H06Rik	171.065703592512	-0.341629261637353	0.141027912764266	-2.42242301499845	0.0154173920706535	0.126231952134988
1600014C10Rik	861.537202474013	0.139199431775204	0.121075536975181	1.14969080668821	0.250271242149593	0.55950411596416
1700001P01Rik	0.126849443150183	0.300896544853967	4.20225067102689	0.0716036639433597	0.942917324157456	NA
1700012P22Rik	0	NA	NA	NA	NA	NA
1700013G24Rik	0.34588862152332	-0.977926572858877	3.12842228614387	-0.312594171570195	0.754589006789196	NA
1700017N19Rik	0.046611191068025	-0.0196760640566115	4.20225067102696	-0.00468226805037382	0.996264104263806	NA
1700019D03Rik	0.576502913376631	0.926100445053503	1.7112705076677	0.54117712010107	0.588385506165998	NA
1700021F07Rik	0.0231224905288616	0	4.20225067102696	0	1	NA
1700024G13Rik	0	NA	NA	NA	NA	NA
1700028K03Rik	0.317504974300393	0.0385743905235168	4.20225067101752	0.0091794596618332	0.992675953716505	NA
1700030J22Rik	10.3874830521469	0.282156190192661	0.339935776220605	0.830027934481225	0.40652298999183	NA
1700056E22Rik	7.26377760744208	-0.0918584970362325	0.4158691094023	-0.220883193676622	0.82518338373809	NA
1700057G04Rik	0.0820245918804312	0.300899400009156	4.20225067102694	0.0716043433781219	0.942916783434905	NA
1700066B19Rik	0.149697977393282	-0.281997159029261	4.20225067102397	-0.0671062202390097	0.94649714202556	NA
1700067K01Rik	0.449743508074543	1.88201759400247	1.95582010648322	0.962265183676093	0.335916413255157	NA
1700092M07Rik	2.53398018246262	0.825531752149325	1.38551726816496	0.595829276991037	0.551289283217591	NA
1700102P08Rik	110.249141572087	0.0176284092284801	0.271137401965	0.0650165159831238	0.948160850224191	0.981737641073403
1700109H08Rik	24.6391314431568	-0.512787976278583	0.346420105755449	-1.48024888786501	0.138806838043208	NA
1700122O11Rik	11.8139137116387	-0.474845516230568	0.405692021541597	-1.1704581086564	0.241816662914275	NA
1700123L14Rik	2.36034500746088	-0.671701984286426	1.0706402565234	-0.627383456014989	0.530407909678114	NA
1810010H24Rik	170.979186288424	0.128532837052873	0.134973162252379	0.952284401639318	0.340952766378701	0.641060203800007
1810037I17Rik	442.871557816401	-0.377796748025729	0.145793006656257	-2.59132283976061	0.00956077538017852	0.09707729911616
2010003K11Rik	5.63734165066451	0.0995999870946815	0.507108283717452	0.196407730444759	0.844291046080932	NA
2210017I01Rik	0	NA	NA	NA	NA	NA
2310002L09Rik	2466.0747318557	-0.748401564753203	0.218526626292867	-3.42476144646192	0.000615339466291055	0.0189135223298698
2310039H08Rik	119.537355616403	-0.74692300695319	0.195960582741661	-3.81159821277871	0.000138071175785016	0.00750273558982728
2310050C09Rik	0	NA	NA	NA	NA	NA
2310061N02Rik	0	NA	NA	NA	NA	NA
2310079G19Rik	0	NA	NA	NA	NA	NA
2610008E11Rik	963.395466604489	-0.0439224359568842	0.11311391747154	-0.38830266813043	0.697792062992403	0.875242285067508
2700049A03Rik	318.700839457274	0.129595528561798	0.148559479681848	0.872347754847673	0.383018692934274	0.67352931032258
2810021J22Rik	456.927424052825	-0.0198371561246322	0.212477430679897	-0.0933612387026525	0.925616583012325	0.975131297269046
2810459M11Rik	0.918451310186049	-1.79636897554737	1.81479217387	-0.989848315092001	0.322248265244222	NA
3110082J24Rik	0	NA	NA	NA	NA	NA
4833439L19Rik	3281.11929333509	0.141013765967021	0.15277198494758	0.923034193837343	0.355989386078136	0.652921147527483
4930402F06Rik	0.799279578130748	0.412752867684198	1.63872503649804	0.251874389230211	0.801138155945647	NA
4930404H24Rik	0	NA	NA	NA	NA	NA
4930444P10Rik	0.101013246648107	0.56320578294815	4.20225067102696	0.134024794577643	0.893382968075712	NA
4930455H04Rik	0.0134921275887798	0	4.20225067102696	0	1	NA
4930503L19Rik	377.155933158624	0.0204998575794082	0.112785459432268	0.181759755934843	0.855771268476192	0.947566802464988
4930523C07Rik	381.198801932309	-0.0375076442241157	0.232888332537629	-0.161054200592275	0.872050711882301	0.954945266243737
4930544D05Rik	0.571563139487453	0.458303405813781	2.1306330609168	0.21510198739551	0.82968780445565	NA
4930563E22Rik	604.739770050449	-0.187856742207262	0.100171443926907	-1.87535224454124	0.0607442803502962	0.266580613194443
4931406B18Rik	0.90744712090837	-0.0273230884692564	1.30495452066789	-0.0209379622327927	0.983295143772023	NA
4933400A11Rik	0.156004622588854	0.563196714161647	4.20225067102603	0.134022636499249	0.893384674577714	NA
4933403O08Rik	1.93047663633558	-0.358234138071212	0.902069791506692	-0.397124636523819	0.691275553248271	NA
4933412E24Rik	0.271705145739289	0	4.20225067101828	0	1	NA
6030468B19Rik	11.226846805566	-0.495899918590295	0.571535007995827	-0.867663243113038	0.385578713603442	NA
