	cluster	degree
Abcd4	3	1616
Abce1	2	1462
Abcf1	2	91
AABR07054000.1	0	74
Abcf2	4	1528
Abcf3	4	2773
Abcg1	3	2887
Abcg3l3	1	77
Abcg3l4	1	31
Abcg4	4	388
Abhd10	3	2896
Abhd12	4	904
Abhd13	2	2642
Abhd14b	1	473
Abhd15	1	470
Abhd16a	3	2456
Abhd16b	3	1821
Abhd17a	0	285
Abhd17b	3	2756
Abhd17c	0	1011
Abhd18	3	523
Abhd2	0	814
Abhd3	1	264
Abhd4	1	435
Abhd5	1	1859
Abhd6	0	469
Abi1	0	188
Abi2	0	1421
Abi3bp	3	645
Abitram	0	296
Abl1	2	645
Abcb8	2	102
Abl2	0	1191
Ablim2	0	346
Abhd11	0	16
Ablim3	3	1077
Abr	0	1674
Abracl	0	951
Abraxas1	3	2320
Abraxas2	2	2322
Abt1	4	544
Abtb1	3	2065
Abtb2	1	1067
AC080157.1	5	189
AC094055.1	2	421
AC094212.1	4	73
AC094643.2	1	1108
AC095693.1	0	1516
AC096024.2	5	4
AC096201.1	5	175
AC097784.1	2	798
1700109H08Rik	2	218
AC098547.2	5	185
AC098622.1	4	556
AC099360.1	5	304
AC099384.2	5	303
AC099450.1	3	359
AC105515.1	4	20
AABR07034639.1	4	4
AC105531.1	2	147
AC105662.1	3	2240
AC107531.3	5	370
AC109048.1	2	431
AC109542.1	4	73
AC109844.1	5	291
AC109901.2	5	3
AABR07034730.2	5	1
AC109942.1	3	3124
AC112531.1	2	20
AC112866.1	3	1258
AC115420.1	5	380
AC115420.4	3	530
AC118115.1	5	38
AC118165.1	2	557
AC119015.1	4	41
AC121415.1	3	1222
AABR07007675.1	3	9
AC121639.1	0	587
AC125757.1	0	1619
AC126572.1	2	2274
AC128207.1	3	1360
AC128290.1	5	13
AC128960.1	5	113
AC130232.2	3	2675
AC130391.3	5	374
AC130970.1	1	1288
AC131360.1	2	976
AC131360.2	2	78
AC132740.1	5	268
AC133270.1	3	170
AC135142.1	5	1
AC135409.1	5	294
Acaa1a	4	154
Acaa2	1	219
Acaca	0	277
Acacb	1	124
Abcc4	1	73
Acad10	1	139
Acad11	1	1763
Acad8	2	28
Acad9	4	1115
Acadl	1	154
Acadm	1	1353
Acads	1	601
Acadsb	1	198
Acadvl	3	2498
Acan	1	165
Acap2	0	168
Acap3	0	1458
Acat1	1	13
Abo	1	50
Acat2	1	186
Acat2l1	1	56
Acbd3	3	2911
Acbd5	3	2213
Acbd6	4	114
Acd	2	312
Ace	3	1806
Ace2	3	848
Acer3	1	1731
Ache	1	1755
Acin1	2	1456
Ackr1	4	68
Ackr2	0	1428
Ackr3	1	62
Acly	1	278
Acnat2	5	302
Aco1	2	528
Aco2	1	54
Acot11	1	984
Acot4	5	215
Acot6	0	65
Acot7	4	630
Acot8	3	1735
Acot9	0	109
Acox1	1	696
Acot2	1	115
Acox3	0	558
Acp1	1	595
Acp2	4	1127
Acr	5	138
Acrbp	3	1956
Acsbg1	1	175
Acsf2	1	123
Acsl1	1	592
Acsl4	0	1309
Acsl5	0	1304
Acsl6	1	45
